CID SURVEY RA DEC z
ATLAS17bas 150 166.898 22.8514 0.02331
ASASSN-15tz 150 40.287 43.6802 0.0222
2010ao 51 205.921 3.9 0.02422
2006sr 64 0.8959 23.1962 0.02307
ASASSN-15jt 150 197.038 27.8264 0.02396
ASASSN-16em 150 203.057 84.6783 0.02296
2000ca 50 203.846 -34.1603 0.02454
1998eg 62 339.876 8.6059 0.02358
PS1-14xw 56 253.24 2.3935 0.02436
2010gp 56 253.239 2.3879 0.02436
2000bh 50 185.313 -21.9988 0.02421
2007F 51 195.813 50.6188 0.0242
2007F 64 195.813 50.6188 0.0242
1993H 50 208.209 -30.7079 0.0245
AT2016bln 150 203.689 13.8539 0.02425
2006ac 57 190.437 35.0686 0.02395
2006ac 64 190.437 35.0686 0.02395
ASASSN-15sf 150 2.865 -6.4273 0.02349
2005bg 5 184.322 16.3716 0.02414
2009D 5 58.5951 -19.1817 0.02476
2009D 51 58.5951 -19.1817 0.02476
2009D 65 58.5951 -19.1817 0.02476
PS16ccn 150 273.122 31.2799 0.02395
2008bf 57 181.012 20.2452 0.02451
2008bf 5 181.012 20.2452 0.02451
2008bf 64 181.012 20.2452 0.02451
1994M 61 187.786 0.6054 0.02426
2004br 57 187.783 0.6132 0.02426
ASASSN-16hz 150 348.94 -1.3396 0.02406
2003he 57 359.738 -2.2481 0.02404
2001cj 57 200.437 31.2468 0.02491
Gaia16agf 150 98.5373 -25.1846 0.02553
2007cq 56 333.668 5.0803 0.02481
2007cq 64 333.668 5.0803 0.02481
2003it 63 1.452 27.4527 0.02413
2007cq 57 333.668 5.0803 0.02481
AT2017cfc 150 208.163 -2.0022 0.02499
2011dn 56 299.648 2.6045 0.02443
2007sw 65 183.404 46.4934 0.025
2012bh 51 183.406 46.4835 0.025
370356 15 183.406 46.4835 0.025
2002he 57 124.995 62.8203 0.02469
2002he 63 124.995 62.8203 0.02469
2018jjd 18 66.0835 -31.9874 0.02547
2002bf 63 153.926 55.6685 0.02494
2002bf 50 153.926 55.6685 0.02494
ASASSN-16bq 150 212.86 1.286 0.02582
PS15ahs 150 269.874 43.3901 0.02522
PSNJ0153424 150 28.4267 29.9363 0.02474
SN2017hn 150 196.914 6.3376 0.02492
1992ag 50 201.041 -23.8788 0.02592
SN2017ms 150 156.676 36.6805 0.02538
PSNJ2352371 150 358.155 14.5525 0.02525
2005M 57 144.385 23.2007 0.02584
2005M 5 144.385 23.2007 0.02584
2005M 64 144.385 23.2007 0.02584
SN2017mf 150 214.129 39.5864 0.02618
2005mc 5 126.776 21.646 0.02597
2005mc 64 126.776 21.646 0.02597
ASASSN-15uu 150 25.9859 17.0626 0.02579
2005ms 64 132.31 36.13 0.02595
1999gp 62 37.9131 39.3812 0.02603
1999gp 57 37.9131 39.3812 0.02603
ASASSN-15mf 150 213.595 2.9755 0.02691
ASASSN-17at 150 174.64 25.3971 0.02643
SNF20071021-000 57 3.7493 16.335 0.0264
2013fn 56 315.099 -14.4978 0.02724
2002eb 57 334.772 24.5944 0.02633
2007co 57 275.765 29.8971 0.02655
2007co 56 275.765 29.8971 0.02655
2007co 64 275.765 29.8971 0.02655
1992P 50 190.704 10.3601 0.02643
2007su 65 334.787 13.1779 0.0266
ASASSN-15fa 150 257.442 62.9743 0.02721
2005na 5 105.403 14.1333 0.02717
2005na 64 105.403 14.1333 0.02717
2005na 57 105.403 14.1333 0.02717
ASASSN-16av 150 177.868 22.0261 0.02676
2006gj 5 49.3992 -1.6917 0.0277
2010ii 51 339.555 35.4917 0.02704
2006ev 5 322.747 13.9892 0.02759
PSNJ0252467 150 43.1946 46.9464 0.02748
2009aa 5 170.926 -22.2707 0.02827
2011hb 56 351.981 8.7794 0.02775
2005eq 57 47.2055 -7.0332 0.02831
2005eq 5 47.2055 -7.0332 0.02831
2005eq 64 47.2055 -7.0332 0.02831
2003U 63 260.69 62.164 0.02794
2009ad 65 75.8891 6.6599 0.02834
2009ad 5 75.8891 6.6599 0.02834
2002el 57 314.125 -18.5595 0.02778
2008ar 57 186.158 10.8382 0.02732
2008ar 5 186.158 10.8382 0.02732
2008ar 65 186.158 10.8382 0.02732
AT2017ns 150 42.2932 14.6008 0.02802
2004gs 5 129.597 17.6277 0.02829
SN2017ckx 150 117.045 28.2307 0.02779
2007is 65 251.811 40.2436 0.02953
2013bs 51 259.342 41.0667 0.02859
1998ab 62 192.197 41.9245 0.02806
1993ah 50 357.959 -27.9618 0.02828
2006qo 64 120.035 56.3688 0.02871
ASASSN-15la 150 213.213 35.7112 0.02845
1996C 61 207.702 49.3186 0.02875
PS16cvc 150 318.097 14.7793 0.02844
ASASSN-15fs 150 284.67 43.4689 0.0285
2003ch 63 109.491 9.693 0.02895
ASASSN-16ay 150 108.059 7.2395 0.02895
PSNJ0859349 150 134.895 45.9259 0.02874
